Date,Revenue,Display,SEM,SEMBrand,SEMCard,SEMPBook,SEMOther,Partners,Affiliate,FB,TV,TVImpression,DM,DM1,DM30,Display_Last_Week,SEM_Last_Week,SEMBrand_Last_Week,SEMCard_Last_Week,SEMPBook_Last_Week,SEMOther_Last_Week,Partners_Last_Week,Affiliate_Last_Week,FB_Last_Week,TV_Last_Week,TVImpression_Last_Week,Q2,Q3,Q4,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Y2012,Y2013,Weekday1,Weekday2,Weekday3,Weekday4,Weekday5,Weekday6,Kodak,SEM_BRAND_Impression,PBookRevenue,CardRevenue ,OtherRevenue,Affiliates_MTA,Direct_Mail_MTA,SEM_MTA,Partners_MTA,Affiliates_LTA,Direct_Mail_LTA,SEM_LTA,Partners_LTA,FB_LTA,Display_LTA,FB_MTA,Display_MTA
5/9/2011,1104093.93,29370.69342,35898.25195,2810.292084,25691.10475,6094.122879,1302.732242,18895,4428.58693,0,0,0,80579.69787,80579.69787,159694.4678,22958.93204,30216.83418,2441.321632,21383.09591,5151.540767,1240.875874,16447.14286,3179.56849,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50811,383252.53,160306.54,560534.86,25285.42,4128.17,88978.27,119297.57,39366.26,2705.64,104679.43,81925.87,0,75985.41,0,45233.68
5/10/2011,626243.75,28093.84326,35860.96185,2442.745277,26224.19152,5809.526436,1384.49861,16765,4206.883876,0,0,0,80579.69787,80579.69787,156098.3419,24225.91427,29737.31725,2356.609333,21134.71142,5018.950326,1227.046164,16383.42857,3089.896708,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40386,303986.15,136870.89,185386.71,12549.6,5426.59,61893.42,81231.33,22085.49,3873.05,73048.68,61246.98,0,54672.19,0,31769.31
5/11/2011,663347.94,28927.98226,35215.74646,2385.204101,25942.6216,5606.047025,1281.873731,17180,3617.500449,0,0,0,80579.69787,80579.69787,152502.216,25135.8569,28633.53398,2231.143316,20178.55136,5040.541364,1183.297944,15838.71429,3120.134867,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38549,358318.9,129040.48,175988.56,13052.13,6083.75,60681.65,87250.45,23376.79,3620.45,73833.61,62085.14,0,53113.03,0,32021.22
5/12/2011,488460.39,28228.85447,31961.71059,2107.804082,23953.58496,4644.937953,1255.383596,13607,3557.284804,0,0,0,80579.69787,80579.69787,148906.0901,26369.19847,28837.4335,2192.788425,20473.86403,5018.71355,1152.06749,15817.14286,3121.959584,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36179,216599.76,127700.74,144159.89,10989,7215.46,49306.99,69236.15,19278.81,5202.67,56272.02,52543.18,0,47878.93,0,25996.45
5/13/2011,416429.92,27578.91681,23144.47799,1916.76214,16008.76646,4215.731723,1003.217668,14133,2927.757614,0,0,0,80579.69787,80579.69787,145309.9642,27031.84482,29308.10816,2179.497027,20995.88494,4979.921856,1152.804341,15510.71429,3249.559401,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31762,183134.23,105963.14,127332.55,9923.58,5933.4,41200.43,69045.2,16913.55,3579.02,47537.54,53073.05,0,41558.09,0,22437.61
5/14/2011,431325.52,27292.14882,21369.45291,1692.743777,14612.00589,4231.020478,833.6827729,17826,2180.53621,0,0,0,80579.69787,80579.69787,141713.8383,27576.07604,29288.39242,2193.394395,20940.1293,5004.539692,1150.329032,15587,3299.869442,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,192928.31,99683.41,138713.8,8670.79,6632.82,44612.29,87444.79,19701.63,4919.43,50701.11,64684.55,0,41832.49,0,21868.78
5/15/2011,715558.26,30144.1297,30326.08644,2245.08338,20787.00952,6071.009647,1222.98389,31528,3044.53947,0,0,0,80579.69787,80579.69787,138117.7124,27984.99702,29415.10413,2205.782737,21059.23267,5004.358806,1145.729915,16203.42857,3314.858185,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41337,326570.89,148787.72,240199.65,9019.27,5920,49432.33,145871.15,12953.57,5595.82,53997.27,103455.28,0,98962.12,0,53267
5/16/2011,757062.58,32106.50187,33516.08432,2754.429161,23283.50724,6052.786747,1425.361173,26472,4441.359946,0,0,0,80579.69787,80579.69787,134521.5865,28519.50982,30539.52688,2228.66212,21888.46924,5238.913734,1183.481787,18562,3423.298479,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48003,381385.81,158409.42,217267.35,14991.51,6193.82,71354.05,128323.34,28353.9,4155.59,95400.67,99939.03,0,72683.32,0,44103.34
5/17/2011,813086.68,31226.31254,33224.14712,2662.120297,23273.46943,5978.525635,1310.031757,48812,4984.213102,0,0,0,80579.69787,80579.69787,130925.4605,28910.3396,30199.21722,2220.681703,21544.52674,5233.008573,1201.000206,19644.42857,3425.123195,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46452,450562.74,162347.82,200176.12,15165.49,8573.55,67914.64,223147.21,31129.68,6251.68,77338.75,174729.86,0,82384.62,0,45662.95
5/18/2011,997546.41,32263.49165,31398.50017,2742.610027,22523.39625,5396.844182,735.649709,65027,4887.503128,0,0,0,80579.69787,80579.69787,127329.3346,29357.83521,29822.52941,2252.020991,21122.99501,5257.151315,1190.362084,24222.57143,3536.170228,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47100,609530.06,168873.15,219143.2,19744.43,9385.24,77094.16,318767.34,38601.22,5462.74,106111.86,245945.7,0,90962.41,0,49847.17
