Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
5/1/2013,1830863.34,37659.4903,23509.94952,5260.826462,4324.426799,4564.287521,19526.591,2104.612171,2364,27266,21731.1,2581710,129677.9675,280751.67,159906.02,5866.47,60509.65,127260.43,223205.01,99895.4085,3664.861505,32772.79,156984.51
5/2/2013,1178936.36,35364.27282,21328.1407,5154.45858,4199.423205,4682.250342,15849.547,2182.006851,2592,23029,14897.95,1622980,129677.9675,176246.06,123489.66,3173.43,29498.93,91861.38,153630.61,73792.54357,1896.316433,19218.53,110070.92
5/3/2013,812315.55,30360.56715,17485.44912,5013.35838,3604.121053,4257.638599,12972.65577,2182.006851,2088,19009,28957.8,3104570,129677.9675,130180.25,94408.62,3418.72,29127.97,73560.8,110963.33,57687.65757,2088.982433,16778.62,85606.09
5/4/2013,803455.43,27514.45349,15213.93456,5086.442677,3300.074439,3914.001812,11916.39048,1690.922811,1960,18472,20095.7,2093910,129677.9675,137391.6,82718.95,2238.62,29994.66,76950.18,116705.82,56962.69073,1541.579272,15760.22,83256.33
5/5/2013,1389293.59,37976.53746,20873.20338,7572.203963,4407.028069,5124.102052,16662.42586,1690.922811,2679,26767,55867.95,5031510,129677.9675,218088.51,137948.36,4580.27,53816.5,115512.14,190313.73,91825.13946,3048.850537,27302.23,128042.66
5/6/2013,1470275.79,51643.71258,31375.81135,9294.973511,5421.59065,5551.337064,18759.04882,2311.820668,3212,27031,0,0,129677.9675,220610.43,136241.17,4485.42,55646.8,118568.42,194739.37,99783.02854,3285.121464,25408.09,131352.34
5/7/2013,1395787.06,45555.38374,27721.87982,7109.964135,5327.961276,5395.578507,18899.83117,2311.820668,1284,26278,0,0,129677.9675,218674.21,126900.55,5819.05,52152.53,107715.64,182855.62,93888.40833,4305.271668,25801.6,118752.2
5/8/2013,1114576.17,39702.35046,22282.46191,7244.757765,5027.398269,5147.732509,15354.82033,1237.931389,2053,23331,0,0,129677.9675,174595.06,101048.99,3215.75,38687.15,87327.89,150548.63,68344.68122,2174.978777,20912.54,108675.22
5/9/2013,793569.75,34807.57408,19343.39062,6402.165887,4517.82433,4544.193246,12525.65193,1237.931389,2354,18661,0,0,129677.9675,119105.5,186644.81,2945.96,28270.5,67575.99,115474.31,54020.02007,852.6399331,14859.32,78084.44
5/10/2013,652221.26,26678.62988,14868.8394,3882.921454,3814.632666,4112.236365,10598.44501,1149.199387,2125,15469,0,0,129677.9675,118077.72,69094.99,2070.11,23803.94,62526.03,94701.06,40577.465,1215.715004,12003.88,63661.44
5/11/2013,617694.43,25724.83257,14135.89979,3698.684412,3781.820831,4108.427535,10013.04497,1149.199387,2000,15676,0,0,129677.9675,119824.08,57935.15,1856.26,21918.47,57907.47,96002.18,40291.27517,1290.944831,11978.01,64484.36
5/12/2013,731432.31,29180.59194,15516.70099,5543.93938,3527.7001,4592.251464,11379.50865,1534.668352,1815,17070,0,0,129677.9675,144282.31,69068.65,2755.66,28095.34,64306.49,115651.99,47224.67784,1884.142165,12943.62,67650.44
5/13/2013,987166.64,38565.68048,21489.22951,7555.65638,3933.875477,5586.919115,14057.55476,1534.668352,3091,22832,0,0,129677.9675,161393.01,82144.78,2580.2,34952.51,90021.69,139939.22,58080.32407,1824.32593,20295.57,90622.33
5/14/2013,889925.36,34220.60296,18917.25697,6151.906707,3734.182432,5417.25685,13932.68002,1775.407005,3773,22813,0,0,129677.9675,153224.61,69277.9,2761.16,32775.5,82723.81,125652.8,53031.79928,2113.650716,18881.79,99617.41
